mcc,description,company
3000,UNITED AIRLINES,621b993b5f87e75f5365a909
3001,AMERICAN AIRLINES,621b992e5f87e75f5365a179
3058,DELTA,621b99325f87e75f5365a371
3066,SOUTHWEST,621b99365f87e75f5365a5f5
3256,ALASKA AIRLINES,621b992e5f87e75f5365a18d
3501,"HOLIDAY INNS, HOLIDAY INN EXPRESS",62deef1a7b212526d1e03eec
3503,SHERATON HOTELS,621b99b75f87e75f5365f15d
3504,HILTON HOTELS,621b99b45f87e75f5365ef65
3509,MARRIOTT HOTELS,621b99b85f87e75f5365f191
3510,"DAYS INN, DAYSTOP",64049ca201d261a4bfceaba6
3562,COMFORT INNS,64049ca101d261a4bfceab9f
3581,DELTA HOTEL,621b99b85f87e75f5365f171
3654,LOEWS HOTELS,621b99f35f87e75f536613e9
3690,COURTYARD BY MARRIOTT,621b99b85f87e75f5365f165
3695,EMBASSY SUITES,621b99b45f87e75f5365ef75
3710,THE RITZ CARLTON HOTELS,621b99b85f87e75f5365f189
3715,FARIFIELD INN,621b99b75f87e75f5365f161
3719,PROTEA HOTELS,621b99b85f87e75f5365f179
3722,WYNDHAM HOTEL AND RESORTS,621b993d5f87e75f5365a9f1
3730,MGM GRAND HOTEL,621b99f45f87e75f536614c9
3745,ST. REGIS HOTEL,621b99b85f87e75f5365f195
3751,HOMEWOOD SUITES,621b99b45f87e75f5365ef79
